id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Sand Blues,Cactus King,blues,melancholy,0.55,88,0.38,0.57,0.80
12,Carnival Lights,Los Fuegos,latin,euphoric,0.87,142,0.92,0.95,0.12
13,Empty Hallways,Grayscale Theory,post-rock,sad,0.60,95,0.22,0.44,0.55
14,Hardwired,Iron Circuit,metal,aggressive,0.97,168,0.35,0.52,0.04
15,Autumn Porch,Maple & Mist,folk,nostalgic,0.38,76,0.68,0.50,0.94
16,Neon Sermon,Glitch Pastor,electronic,dark,0.80,140,0.30,0.78,0.08
17,Soul Kitchen,Velvet Browne,soul,romantic,0.62,102,0.78,0.69,0.65
18,Bamboo Wind,Koto Dreams,world,peaceful,0.25,65,0.73,0.45,0.97
19,Bounce Theory,Def Cadence,hip-hop,confident,0.84,96,0.70,0.91,0.14
20,Glacier Blue,Fjord Ensemble,classical,serene,0.20,58,0.62,0.28,0.99
